dim,mpi_proc,omp_threads,time
22361,5,2,16.277496
22361,5,2,16.523009
22361,5,2,16.508942
22361,5,2,16.277047
22361,5,4,8.337442
22361,5,4,8.353952
22361,5,4,8.359725
22361,5,4,8.350604
22361,5,4,8.379586
22361,5,6,5.629245
22361,5,6,5.954693
22361,5,6,5.654847
22361,5,6,5.766010
22361,5,6,5.634035
22361,5,8,4.384309
22361,5,8,4.324820
22361,5,8,4.415398
22361,5,8,4.349713
22361,5,8,4.337511
22361,5,10,3.619008
22361,5,10,3.492740
22361,5,10,3.566660
22361,5,10,3.487136
22361,5,10,3.486499
22361,5,12,2.919569
22361,5,12,2.996445
22361,5,12,3.023030
22361,5,12,2.937043
22361,5,12,2.947286
22361,5,16,2.379593
22361,5,16,2.304367
22361,5,16,2.250632
22361,5,16,2.443581
22361,5,16,2.274440
22361,5,20,1.850421
22361,5,20,2.050798
22361,5,20,1.940015
22361,5,20,1.871017
22361,5,20,1.887804
22361,5,24,1.615274
22361,5,24,1.914135
22361,5,24,1.729012
22361,5,24,1.592385
22361,5,24,1.608113
22361,5,28,1.526053
22361,5,28,1.641872
22361,5,28,1.399782
22361,5,28,1.417259
22361,5,28,1.390447
22361,5,32,1.433603
22361,5,32,1.433998
22361,5,32,1.292730
22361,5,32,1.385474
22361,5,32,1.271987
22361,5,36,1.114139
22361,5,36,1.276000
22361,5,36,1.154714
22361,5,36,1.138846
22361,5,36,1.344272
22361,5,40,1.119363
22361,5,40,1.162300
22361,5,40,1.126755
22361,5,40,1.141246
22361,5,40,1.088652
22361,5,44,1.146344
22361,5,44,0.968483
22361,5,44,0.981152
22361,5,44,1.068114
22361,5,44,0.969889
22361,5,48,0.909340
22361,5,48,0.982980
22361,5,48,0.925113
22361,5,48,0.964965
22361,5,48,0.916892
22361,5,52,0.846162
22361,5,52,0.866887
22361,5,52,0.848934
22361,5,52,0.968820
22361,5,52,0.847807
22361,5,56,0.901423
22361,5,56,0.933037
22361,5,56,0.932613
22361,5,56,0.808403
22361,5,56,0.822677
22361,5,60,0.764513
22361,5,60,0.778350
22361,5,60,0.816376
22361,5,60,0.889840
22361,5,60,0.789272
22361,5,64,0.775897
22361,5,64,0.881330
22361,5,64,0.758190
22361,5,64,0.801813
22361,5,64,0.778832
24495,6,1,34.765098
24495,6,1,33.184962
24495,6,1,33.282867
24495,6,1,33.337633
24495,6,1,33.192001
24495,6,2,17.092669
24495,6,2,16.734843
24495,6,2,16.721061
24495,6,2,16.735389
24495,6,2,16.768490
24495,6,4,8.749371
24495,6,4,8.582439
24495,6,4,8.617159
24495,6,4,8.626955
24495,6,4,8.621255
24495,6,6,5.796977
24495,6,6,5.882105
24495,6,6,5.816689
24495,6,6,5.917257
24495,6,6,5.798100
24495,6,8,4.525392
24495,6,8,4.473018
24495,6,8,4.588336
24495,6,8,4.460567
24495,6,8,4.452687
24495,6,10,3.683656
24495,6,10,3.595157
24495,6,10,3.577983
24495,6,10,3.587627
24495,6,10,3.559051
24495,6,12,2.999993
